Operating Temperature,-20°C ~ 50°C / -4°F ~ 122°F,-20°C ~ 50°C / -4°F ~ 122°F,-20°C ~ 50°C / -4°F ~ 122°F,-20°C ~ 50°C / -4°F ~ 122°F,-40°C ~ 60°C / -40°F ~ 140°F,-40°C ~ 60°C / -40°F ~ 140°F,-40°C ~ 50°C / -22°F ~ 122°F,,-30°C ~ 55°C / -22°F ~ 131°F,-30°C ~ 50°C / -22°F ~ 122°F,-30°C ~ 55°C / -22°F ~ 131°F,-30°C ~ 55°C / -22°F ~ 131°F,-30°C ~ 55°C / -22°F ~ 131°F
Humidity,98％,98％,98％,98％,5～90％,5～90％,5～90％,,90％,90％,90％,90％,90％
Certifications,"CE, FCC","CE, FCC","CE, FCC","CE, FCC","CE, FCC","CE, FCC","CE, FCC",,"CE, FCC, UKCA, RCM, VCCI, IC","CE, FCC, UKCA, RCM, VCCI, IC","CE, FCC, UKCA, RCM, VCCI, IC","CE, FCC, UKCA, RCM, VCCI, IC","CE, FCC, UKCA, RCM, VCCI, IC"
Mechanical,,,,,,,,,,,,,
Enclosure material,"Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate",Polycarbonate,Polycarbonate,"Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate",,"Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate","Aluminum alloy, Polycarbonate"
Weatherproofing,IP67,IP67,IP66,IP66,IP67,IP67,IP67,,IP66,IP66,IP66,IP66,IP66
Resistance,IK10,IK10,-,-,IK10,IK10,IK10,,IK10,IK10,IK10,IK10,IK10
Dimensions,"Ø121.7 x 94.8 mm (Ø4.79 x 3.73"")","Ø121.7 x 94.8 mm (Ø4.79 x 3.73"")","Ø76x 200 mm (Ø2.99 x 7.88"")","Ø76x 200 mm (Ø2.99 x 7.88"")","Ø145 x 105 mm (Ø5.71x 4.14"")","Ø145 x 105 mm (Ø5.71x 4.14"")","Ø155 x 106 mm (Ø6.10x 4.17"")",,"Ø117.2 x 89.6 mm (Ø4.62 x 3.53"")","Ø120 x 95mm (Ø4.73 x 3.75"")","Ø133.7 x 103.8 mm (Ø5.27 x 4.09"")","Ø91 x 226.6 mm (Ø3.59 x 8.93"")","Ø91 x 226.6 mm (Ø3.59 x 8.93"")"
Weight,525g / 18.5oz,525g / 18.5oz,330g / 11.64oz,330g / 11.64oz,740g / 26.11oz,740g / 26.11oz,1100g / 38.8oz,,550g / 19.4oz,730g / 25.75oz,850g / 29.99oz,925g / 32.63oz,940g / 33.16oz
Management Software,,,,,,,,,,,,,
Web Browser,"Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge",,"Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge","Chrome, Safari, Edge"
Mobile App,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android,Cloud To-Go on iOS and Android
